duplicate_type	record_ids	lemma	details
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-0ec0b9afe9|LX-6caaa1a224	נִבְעַט	cells FUT.1PL|PST.3MSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-f40ce2ea1a|LX-f91fe75339	נִבְרָא	cells FUT.1PL|PRS.MSG|PST.3MSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-53d478f095|LX-b1fc7e2196	נִגְאַל	cells FUT.1PL|PST.3MSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-83bd88989a|LX-ff7f82d286	נִגְלֶה	cells FUT.1PL|PRS.MSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-770850bf80|LX-acf3993b6d	נִדְחֶה	cells FUT.1PL|PRS.MSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-1c6c2f2853|LX-8306c21941	נִהְיֶה	cells FUT.1PL|PRS.MSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-a421bd4836|LX-f71e97c383	נִכְפֶּה	cells FUT.1PL|PRS.MSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-a457d161ee|LX-c91baae462	נִכָּה	cells PST.3MSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-69807701ae|LX-b28d05a18f	נִמְנַע	cells FUT.1PL|PST.3MSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-559749a19d|LX-ccdfd26a66	נִמְצָא	cells FUT.1PL|PRS.MSG|PST.3MSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-b34e036e57|LX-cd21b2a15b	נִנְעַל	cells FUT.1PL|PST.3MSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-355f14051c|LX-bd64bd5f86	נִפְגַּע	cells FUT.1PL|PST.3MSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-7e55965401|LX-b1c181eb09	נִפַּח	cells FUT.1PL|PST.3MSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-28debcf2e2|LX-3c59cc9776	נִצָּה	cells PST.3MSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-35856ad369|LX-a646782180	נִקְטַן	cells FUT.1PL
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-0a6ced5078|LX-a293280b97	נִקְלָה	cells PST.3MSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-9300efaa00|LX-f014ecdb3c	נִקְנֶה	cells FUT.1PL|PRS.MSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-3ab283c35d|LX-3d32f79efb	נִקְרָא	cells FUT.1PL|PRS.MSG|PST.3MSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-c04cf3a925|LX-c423043573	נִרְאֶה	cells FUT.1PL|PRS.MSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-91e0eaa87b|LX-c5e586df34	נִרְצֶה	cells FUT.1PL|PRS.MSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-a43a976054|LX-e48552f170	נִרְצַח	cells FUT.1PL|PST.3MSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-12c3152541|LX-aff5a4ad55	נִשְׁמַע	cells FUT.1PL|PST.3MSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-da0d23398a|LX-e37f4c3b54	נִשָּׂא	cells FUT.1PL|PRS.MSG|PST.3MSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-505eab44cd|LX-828b91b0c3	נִתְוַכֵּחַ	cells FUT.1PL
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-06d7302519|LX-bab2836fec	נֶאֱהַד	cells FUT.1PL|PST.3MSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-435ebe95bf|LX-470258a91e	נֶהֱגֶה	cells FUT.1PL|PRS.MSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-5f487f22df|LX-8f40a0b7e1|LX-f55c3a8575	נַעֲלֶה	cells FUT.1PL|PRS.MSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-add8596aaf|LX-b97bf4b70c	נַעֲשֶׂה	cells FUT.1PL|PRS.MSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-35a9911948|LX-6c1729499c	נָבִין	cells FUT.1PL
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-0698255036|LX-21b2515d1d	נָבַר	cells PST.3MSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-97151a7cb5|LX-9a701f9456	נָחָה	cells PRS.FSG|PST.3FSG|PST.3MSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-63942d7ff8|LX-e0f85e0df1	נָעִים	cells PRS.MPL|PRS.MSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-2ff4b7045a|LX-852031e649	נָקַט	cells PST.3MSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-42d535a285|LX-f09c39ee18	נָשִׁית	cells FUT.1PL|PST.2FSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-6a7f3978c3|LX-e8646b5b9e	נוֹצֶרֶת	cells PRS.FSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-404f2ec4f7|LX-bce671e703	נוֹרֶה	cells FUT.1PL|PRS.MSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-461c9f230b|LX-81d8a4ca7f	נוֹשֶׁבֶת	cells PRS.FSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-84f4a01728|LX-f0664633a4	פַּחֲדִי	cells IMP.2FSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-84f4a01728|LX-f0664633a4	פַּחֲדוּ	cells IMP.2MPL
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-76ce1005b0|LX-ad8d500584	צְרֹר	cells IMP.2MSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-3523741b58|LX-e8801d5939	צָדָה	cells PRS.FSG|PST.3FSG|PST.3MSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-4e5da48139|LX-eac002a1ae	צָפָה	cells PRS.FSG|PST.3FSG|PST.3MSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-4e5da48139|LX-eac002a1ae	צָפוּ	cells PST.3PL
